
Getting data from wss://ptmessaging-eu1bc.prd.jifeline.cloud/ptmessaging/b71d5fb8-840d-4641-ba7f-c2d5574cdec4?bufferSize=1000&amp;useArrayFormat=true
16:23:49.627 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:50.628 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:51.629 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:52.630 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:53.153 | [Server]-&gt;[Tracer] METADATA =&gt; key[connection:transceived:bytes] value[7309]
16:23:53.631 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:54.632 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:55.633 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:56.075 | [Server]-&gt;[Tracer] METADATA =&gt; key[ecu:channel:can:6-14-H-2:11-18:7B0-7B8:since] value[1758119036068 (2025-09-17 14:23:56.068)]
16:23:56.076 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E7E] args[0x07B0,0x07B8,0x00,0x00] data[0x]
16:23:56.077 | [Server]-&gt;[Tracer] METADATA =&gt; key[ecu:channel:can:6-14-H-2:11-18:792-79A:since] value[1758119036068 (2025-09-17 14:23:56.068)]
16:23:56.077 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E7E] args[0x0792,0x079A,0x00,0x00] data[0x]
16:23:56.078 | [Server]-&gt;[Tracer] METADATA =&gt; key[ecu:channel:can:6-14-H-2:11-18:7C0-7C8:since] value[1758119036069 (2025-09-17 14:23:56.069)]
16:23:56.078 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E7E] args[0x07C0,0x07C8,0x00,0x00] data[0x]
16:23:56.079 | [Server]-&gt;[Tracer] METADATA =&gt; key[ecu:channel:can:6-14-H-2:11-18:7B3-7BB:since] value[1758119036070 (2025-09-17 14:23:56.070)]
16:23:56.079 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E7E] args[0x07B3,0x07BB,0x00,0x00] data[0x]
16:23:56.080 | [Server]-&gt;[Tracer] METADATA =&gt; key[ecu:channel:can:6-14-H-2:11-18:7A1-7A9:since] value[1758119036072 (2025-09-17 14:23:56.072)]
16:23:56.080 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E7E] args[0x07A1,0x07A9,0x00,0x00] data[0x]
16:23:56.090 | [Server]-&gt;[Tracer] METADATA =&gt; key[ecu:channel:can:6-14-H-2:11-18:7D2-7DA:since] value[1758119036073 (2025-09-17 14:23:56.073)]
16:23:56.091 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E7E] args[0x07D2,0x07DA,0x00,0x00] data[0x]
16:23:56.092 | [Server]-&gt;[Tracer] METADATA =&gt; key[ecu:channel:can:6-14-H-2:11-18:780-788:since] value[1758119036074 (2025-09-17 14:23:56.074)]
16:23:56.092 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E7E] args[0x0780,0x0788,0x00,0x00] data[0x]
16:23:56.093 | [Server]-&gt;[Tracer] METADATA =&gt; key[ecu:channel:can:6-14-H-2:11-18:7C4-7CC:since] value[1758119036082 (2025-09-17 14:23:56.082)]
16:23:56.093 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E7E] args[0x07C4,0x07CC,0x00,0x00] data[0x]
16:23:56.271 | [Server]-&gt;[Tracer] METADATA =&gt; key[ecu:channel:can:6-14-H-2:11-18:7D0-7D8:since] value[1758119036264 (2025-09-17 14:23:56.264)]
16:23:56.272 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E7E] args[0x07D0,0x07D8,0x00,0x00] data[0x]
16:23:58.395 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x6007] args[0x0700,0x00,0x6255,0x02] data[0x]
16:23:58.412 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x6007] args[0x0724,0x00,0x6255,0x02] data[0x]
16:23:58.445 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x6007] args[0x0747,0x00,0x6255,0x02] data[0x]
16:23:58.460 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x6007] args[0x0750,0x0F,0x6255,0x02] format[0x0200] data[0x]
16:23:58.481 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x6007] args[0x0750,0x29,0x6255,0x02] format[0x0200] data[0x]
16:23:58.518 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x6007] args[0x0750,0x2A,0x6255,0x02] format[0x0200] data[0x]
16:23:58.556 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x6007] args[0x0750,0x40,0x6255,0x02] format[0x0200] data[0x]
16:23:58.686 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x6007] args[0x0750,0x4A,0x6255,0x02] format[0x0200] data[0x]
16:23:58.856 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x6007] args[0x0750,0x4D,0x6255,0x02] format[0x0200] data[0x]
16:23:58.896 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x6007] args[0x0750,0x5F,0x6255,0x02] format[0x0200] data[0x]
16:23:59.518 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x6007] args[0x0750,0xB0,0x1618,0x03] format[0x0200] data[0x]
16:23:59.556 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x6007] args[0x0750,0xC7,0x6255,0x02] format[0x0200] data[0x]
16:23:59.597 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x6007] args[0x0750,0xD3,0x6255,0x02] format[0x0200] data[0x]
16:23:59.614 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x6007] args[0x07B0,0x00,0x6255,0x02] data[0x]
16:23:59.655 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x6007] args[0x0792,0x00,0x6255,0x02] data[0x]
16:23:59.697 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x6007] args[0x07C0,0x00,0x6255,0x02] data[0x]
16:23:59.715 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x6007] args[0x07B3,0x00,0x6255,0x02] data[0x]
16:23:59.760 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x6007] args[0x07A1,0x00,0x6255,0x02] data[0x]
16:23:59.792 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x6007] args[0x07D2,0x00,0x6255,0x02] data[0x]
16:23:59.843 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x6007] args[0x0780,0x00,0x6255,0x02] data[0x]
16:23:59.929 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x6007] args[0x07C4,0x00,0x6255,0x02] data[0x]
16:23:59.960 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x6007] args[0x07D0,0x00,0x6255,0x02] data[0x]
16:23:59.961 | [Server]-&gt;[Tracer] METADATA =&gt; key[connection:properties:scan:finished] value[true]
16:23:59.962 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x03,0x64,0x03,0x03] data[0x]
16:24:07.492 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0780,0x07,0x00,0x00] data[0x013E000000000000]
16:24:08.078 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0750,0x07,0x40,0x00] format[0x0200] data[0x40023E0000000000]
16:24:08.181 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0750,0x07,0x40,0x00] format[0x0200] data[0x40023E0000000000]
16:24:08.246 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x40,0x00,0x00] format[0x0200] data[0x220101]
16:24:08.360 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x40,0x00,0x00] format[0x0200] data[0x6201016000C000B0800000000000000000000000000000000000000000000000004000]
16:24:08.454 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x40,0x00,0x00] format[0x0200] data[0x222200]
16:24:08.566 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x40,0x00,0x00] format[0x0200] data[0x6222001000007000A10001007E004400010C0600002000000008700000000000010000]
16:24:09.374 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0700,0x07,0x00,0x00] data[0x023E000000000000]
16:24:09.426 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0700,0x00,0x00,0x00] data[0x220103]
16:24:09.446 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0708,0x00,0x00,0x00] data[0x62010302002A80]
16:24:23.734 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0700,0x07,0x00,0x00] data[0x023E000000000000]
16:24:23.783 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0724,0x07,0x00,0x00] data[0x023E000000000000]
16:24:23.806 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x07D2,0x07,0x00,0x00] data[0x023E000000000000]
16:24:23.827 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0747,0x07,0x00,0x00] data[0x023E000000000000]
16:24:23.848 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x07A1,0x07,0x00,0x00] data[0x023E000000000000]
16:24:23.874 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x07C0,0x07,0x00,0x00] data[0x023E000000000000]
16:24:23.902 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x07B0,0x07,0x00,0x00] data[0x023E000000000000]
16:24:23.991 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0780,0x07,0x00,0x00] data[0x023E000000000000]
16:24:24.025 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x07B3,0x07,0x00,0x00] data[0x023E000000000000]
16:24:24.066 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x07C4,0x07,0x00,0x00] data[0x023E000000000000]
16:24:24.113 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x07D0,0x07,0x00,0x00] data[0x023E000000000000]
16:24:24.133 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0792,0x07,0x00,0x00] data[0x023E000000000000]
16:24:24.522 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0700,0x00,0x00,0x00] data[0x07]
16:24:24.540 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0708,0x00,0x00,0x00] data[0x7F0711]
16:24:24.559 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0724,0x00,0x00,0x00] data[0x07]
16:24:24.578 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x072C,0x00,0x00,0x00] data[0x7F0711]
16:24:24.587 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07D2,0x00,0x00,0x00] data[0x07]
16:24:24.605 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07DA,0x00,0x00,0x00] data[0x7F0711]
16:24:24.627 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0747,0x00,0x00,0x00] data[0x07]
16:24:24.647 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x7F0711]
16:24:24.693 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07A1,0x00,0x00,0x00] data[0x1003]
16:24:24.715 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07A9,0x00,0x00,0x00] data[0x5003003201F4]
16:24:24.727 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07C0,0x00,0x00,0x00] data[0x1003]
16:24:24.748 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07C8,0x00,0x00,0x00] data[0x5003003201F4]
16:24:24.765 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07B0,0x00,0x00,0x00] data[0x07]
16:24:24.780 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07B8,0x00,0x00,0x00] data[0x7F0711]
16:24:24.809 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0780,0x00,0x00,0x00] data[0x1003]
16:24:24.834 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0788,0x00,0x00,0x00] data[0x5003003201F4]
16:24:24.855 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07B3,0x00,0x00,0x00] data[0x1003]
16:24:24.871 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07BB,0x00,0x00,0x00] data[0x5003003201F4]
16:24:24.891 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07C4,0x00,0x00,0x00] data[0x07]
16:24:24.920 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07CC,0x00,0x00,0x00] data[0x7F0711]
16:24:24.939 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07D0,0x00,0x00,0x00] data[0x1003]
16:24:24.962 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07D8,0x00,0x00,0x00] data[0x5003003201F4]
16:24:24.986 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x1003]
16:24:25.005 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x5003003201F4]
16:24:25.649 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0700,0x00,0x00,0x00] data[0x1003]
16:24:25.671 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0708,0x00,0x00,0x00] data[0x5003003201F4]
16:24:25.693 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0724,0x00,0x00,0x00] data[0x1003]
16:24:25.712 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x072C,0x00,0x00,0x00] data[0x5003003201F4]
16:24:25.734 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07D2,0x00,0x00,0x00] data[0x1003]
16:24:25.752 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07DA,0x00,0x00,0x00] data[0x5003003201F4]
16:24:25.773 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0747,0x00,0x00,0x00] data[0x1003]
16:24:25.790 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x5003003201F4]
16:24:25.794 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07A1,0x00,0x00,0x00] data[0x190209]
16:24:25.818 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07C0,0x00,0x00,0x00] data[0x190209]
16:24:25.825 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07A9,0x00,0x00,0x00] data[0x5902B954FE1428]
16:24:25.879 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07B0,0x00,0x00,0x00] data[0x1003]
16:24:25.888 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07C8,0x00,0x00,0x00] data[0x590239C1278728C163872893218728]
16:24:25.895 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07B8,0x00,0x00,0x00] data[0x5003003201F4]
16:24:25.901 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0780,0x00,0x00,0x00] data[0x190209]
16:24:25.938 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07B3,0x00,0x00,0x00] data[0x190209]
16:24:25.957 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x7F78] args[0x0788,0x00,0x00,0x00] data[0x037F197800000000]
16:24:25.958 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07BB,0x00,0x00,0x00] data[0x590239]
16:24:25.978 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07C4,0x00,0x00,0x00] data[0x1003]
16:24:26.000 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07D0,0x00,0x00,0x00] data[0x190209]
16:24:26.025 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x190209]
16:24:26.139 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x5902B940CA1528C1638728]
16:24:26.150 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07CC,0x00,0x00,0x00] data[0x5003002801F2]
16:24:26.171 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0788,0x00,0x00,0x00] data[0x5902FB]
16:24:26.172 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07D8,0x00,0x00,0x00] data[0x59023956228728957D132895A696289547132895791328]
16:24:26.942 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0700,0x00,0x00,0x00] data[0x19020D]
16:24:26.983 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0724,0x00,0x00,0x00] data[0x19020D]
16:24:26.994 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0708,0x00,0x00,0x00] data[0x5902FF]
16:24:27.003 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x072C,0x00,0x00,0x00] data[0x5902FF]
16:24:27.006 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07D2,0x00,0x00,0x00] data[0x19020D]
16:24:27.033 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0747,0x00,0x00,0x00] data[0x19020D]
16:24:27.050 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07DA,0x00,0x00,0x00] data[0x5902FF]
16:24:27.060 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07B0,0x00,0x00,0x00] data[0x190209]
16:24:27.068 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x5902FF]
16:24:27.087 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07C4,0x00,0x00,0x00] data[0x190209]
16:24:27.110 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x7F78] args[0x07B8,0x00,0x00,0x00] data[0x037F197800000000]
16:24:27.151 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07CC,0x00,0x00,0x00] data[0x590239]
16:24:27.465 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07B8,0x00,0x00,0x00] data[0x5902B954FE1428]
16:24:27.580 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0700,0x00,0x00,0x00] data[0x190209]
16:24:27.605 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0724,0x00,0x00,0x00] data[0x190209]
16:24:27.622 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x072C,0x00,0x00,0x00] data[0x5902FF]
16:24:27.624 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0708,0x00,0x00,0x00] data[0x5902FF]
16:24:27.649 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07D2,0x00,0x00,0x00] data[0x190209]
16:24:27.671 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0747,0x00,0x00,0x00] data[0x190209]
16:24:27.689 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07DA,0x00,0x00,0x00] data[0x5902FF]
16:24:27.707 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x5902FF]
16:24:28.771 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0750,0x07,0x2A,0x00] format[0x0200] data[0x2A023E0000000000]
16:24:28.864 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x2A,0x00,0x00] format[0x0200] data[0x1003]
16:24:28.882 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x2A,0x00,0x00] format[0x0200] data[0x5003003201F4]
16:24:28.946 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x2A,0x00,0x00] format[0x0200] data[0x190209]
16:24:28.967 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x2A,0x00,0x00] format[0x0200] data[0x5902B9]
16:24:29.594 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0750,0x07,0x40,0x00] format[0x0200] data[0x40023E0000000000]
16:24:29.733 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x40,0x00,0x00] format[0x0200] data[0x1003]
16:24:29.755 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x40,0x00,0x00] format[0x0200] data[0x5003003201F4]
16:24:29.821 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x40,0x00,0x00] format[0x0200] data[0x190209]
16:24:29.874 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x7F78] args[0x0758,0x00,0x40,0x00] format[0x0200] data[0x40037F1978000000]
